;10_kurt_total_ips_origem;10_skw_total_ips_origem;10_coefficient_variation_total_ips_origem;10_kurt_total_ips_destino;10_skw_total_ips_destino;10_coefficient_variation_total_ips_destino;10_kurt_total_pacotes;10_skw_total_pacotes;10_coefficient_variation_total_pacotes;has_bot
0;;;;;;;;;;0
1;;;;;;;;;;0
2;;;;;;;;;;0
3;;;;;;;;;;0
4;;;;;;;;;;0
5;;;;;;;;;;0
6;;;;;;;;;;0
7;;;;;;;;;;0
8;;;;;;;;;;0
9;;;;;;;;;;0
10;;;;;;;;;;0
11;;;;;;;;;;0
12;;;;;;;;;;0
13;;;;;;;;;;0
14;;;;;;;;;;0
15;;;;;;;;;;0
16;;;;;;;;;;0
17;;;;;;;;;;0
18;;;;;;;;;;0
19;;;;;;;;;;0
20;;;;;;;;;;0
21;;;;;;;;;;0
22;;;;;;;;;;0
23;;;;;;;;;;0
24;;;;;;;;;;0
25;;;;;;;;;;0
26;;;;;;;;;;0
27;;;;;;;;;;0
28;;;;;;;;;;0
29;;;;;;;;;;0
30;;;;;;;;;;0
31;;;;;;;;;;0
32;;;;;;;;;;0
33;;;;;;;;;;0
34;;;;;;;;;;0
35;;;;;;;;;;0
36;;;;;;;;;;0
37;;;;;;;;;;0
38;;;;;;;;;;0
39;;;;;;;;;;0
40;;;;;;;;;;0
41;;;;;;;;;;0
42;;;;;;;;;;0
43;;;;;;;;;;0
44;;;;;;;;;;0
45;;;;;;;;;;0
46;;;;;;;;;;0
47;;;;;;;;;;0
48;;;;;;;;;;0
49;;;;;;;;;;0
50;;;;;;;;;;0
51;;;;;;;;;;0
52;;;;;;;;;;0
53;;;;;;;;;;0
54;;;;;;;;;;0
55;;;;;;;;;;0
56;;;;;;;;;;0
57;;;;;;;;;;0
58;;;;;;;;;;0
59;;;;;;;;;;0
60;;;;;;;;;;0
61;;;;;;;;;;0
62;;;;;;;;;;0
63;;;;;;;;;;0
64;;;;;;;;;;0
65;;;;;;;;;;0
66;;;;;;;;;;0
67;;;;;;;;;;0
68;;;;;;;;;;0
69;;;;;;;;;;0
70;;;;;;;;;;0
71;;;;;;;;;;0
72;;;;;;;;;;0
73;;;;;;;;;;0
74;;;;;;;;;;0
75;;;;;;;;;;0
76;;;;;;;;;;0
77;;;;;;;;;;0
78;;;;;;;;;;0
79;;;;;;;;;;0
80;;;;;;;;;;0
81;;;;;;;;;;0
82;;;;;;;;;;0
83;;;;;;;;;;0
84;;;;;;;;;;0
85;;;;;;;;;;0
86;;;;;;;;;;0
87;;;;;;;;;;0
88;;;;;;;;;;0
89;;;;;;;;;;0
90;;;;;;;;;;0
91;;;;;;;;;;0
92;;;;;;;;;;0
93;;;;;;;;;;0
94;;;;;;;;;;0
95;;;;;;;;;;0
96;1.221060693971783;0.3748386724001112;0.1037639391673261;4.379324094155665;1.1021113105336933;0.1054900545739397;2.1318973453392043;0.8836332757744628;0.2555475129569616;0
97;1.216440908997794;0.3917856374512927;0.1039197987246205;4.377461743674936;1.1235469866866268;0.1057732710071861;2.126618036406238;0.8799804775617799;0.2554849737262592;0
98;1.217883213692904;0.3905979589604941;0.1039010910151813;4.350117811869919;1.1397187232470207;0.1061422877209437;2.1321421849898554;0.8635233143735701;0.2545910960173239;0
99;1.192247555244115;0.3964812681398392;0.1041505327619569;4.211785542964355;1.1142841345958652;0.106953187815481;2.1122879354311257;0.8802136870767057;0.2558765171603454;0
100;1.1705003716635936;0.3977666544704463;0.1043568298751323;4.0808477306604125;1.098944292288922;0.1077505474809105;2.0824580243528947;0.8938749376185467;0.2573078764774448;0
101;1.2370638280280677;0.3995569892769112;0.103697074486758;4.196227131313735;1.1194909097597598;0.1070563117047406;2.079446128336818;0.9152399497214336;0.2585218714007006;0
102;1.1833838282824851;0.3924276501558578;0.1042602603492819;4.12180257497374;1.1113226685110944;0.1074993539327083;2.083032424277156;0.9361888247880608;0.2595593625111762;0
103;1.2086305956495766;0.3683340061821762;0.1038728567206688;4.161850713278225;1.1073965168849882;0.1072026350832177;2.0525491145339725;0.94506052714682;0.2608417715039396;0
104;1.1302358800931265;0.3301501183214593;0.1041204123277085;4.102638763125867;1.0774204089267243;0.1071365354163351;2.19812561749177;0.997251515265451;0.2564535247884509;0
