;10_kurt_total_ips_origem;10_skw_total_ips_origem;10_coefficient_variation_total_ips_origem;10_kurt_total_ips_destino;10_skw_total_ips_destino;10_coefficient_variation_total_ips_destino;10_kurt_total_pacotes;10_skw_total_pacotes;10_coefficient_variation_total_pacotes;has_bot
0;;;;;;;;;;0
1;;;;;;;;;;0
2;;;;;;;;;;0
3;;;;;;;;;;1
4;;;;;;;;;;0
5;;;;;;;;;;0
6;;;;;;;;;;0
7;;;;;;;;;;0
8;;;;;;;;;;0
9;;;;;;;;;;0
10;;;;;;;;;;0
11;;;;;;;;;;0
12;;;;;;;;;;0
13;;;;;;;;;;0
14;;;;;;;;;;0
15;;;;;;;;;;1
16;;;;;;;;;;0
17;;;;;;;;;;0
18;;;;;;;;;;0
19;;;;;;;;;;0
20;;;;;;;;;;0
21;;;;;;;;;;1
22;;;;;;;;;;0
23;;;;;;;;;;0
24;;;;;;;;;;1
25;;;;;;;;;;1
26;;;;;;;;;;0
27;;;;;;;;;;0
28;;;;;;;;;;1
29;;;;;;;;;;0
30;;;;;;;;;;0
31;;;;;;;;;;0
32;;;;;;;;;;0
33;;;;;;;;;;1
34;;;;;;;;;;0
35;;;;;;;;;;0
36;;;;;;;;;;0
37;;;;;;;;;;0
38;;;;;;;;;;0
39;;;;;;;;;;0
40;;;;;;;;;;0
41;;;;;;;;;;0
42;;;;;;;;;;0
43;;;;;;;;;;0
44;;;;;;;;;;0
45;;;;;;;;;;0
46;;;;;;;;;;0
47;;;;;;;;;;0
48;;;;;;;;;;0
49;;;;;;;;;;0
50;;;;;;;;;;0
51;;;;;;;;;;0
52;;;;;;;;;;1
53;;;;;;;;;;0
54;;;;;;;;;;0
55;;;;;;;;;;0
56;;;;;;;;;;0
57;;;;;;;;;;0
58;;;;;;;;;;1
59;;;;;;;;;;0
60;;;;;;;;;;0
61;;;;;;;;;;0
62;;;;;;;;;;1
63;;;;;;;;;;0
64;;;;;;;;;;0
65;;;;;;;;;;1
66;;;;;;;;;;0
67;;;;;;;;;;0
68;;;;;;;;;;0
69;;;;;;;;;;1
70;;;;;;;;;;1
71;;;;;;;;;;1
72;;;;;;;;;;0
73;;;;;;;;;;0
74;;;;;;;;;;1
75;;;;;;;;;;0
76;;;;;;;;;;1
77;;;;;;;;;;1
78;;;;;;;;;;0
79;;;;;;;;;;1
80;;;;;;;;;;0
81;;;;;;;;;;0
82;;;;;;;;;;0
83;;;;;;;;;;0
84;;;;;;;;;;0
85;;;;;;;;;;0
86;;;;;;;;;;0
87;;;;;;;;;;0
88;;;;;;;;;;1
89;;;;;;;;;;0
90;;;;;;;;;;0
91;;;;;;;;;;0
92;;;;;;;;;;0
93;;;;;;;;;;0
94;;;;;;;;;;1
95;;;;;;;;;;0
96;;;;;;;;;;0
97;;;;;;;;;;0
98;;;;;;;;;;1
99;;;;;;;;;;1
100;;;;;;;;;;0
101;;;;;;;;;;1
102;;;;;;;;;;0
103;;;;;;;;;;0
104;;;;;;;;;;0
105;;;;;;;;;;0
106;;;;;;;;;;0
107;;;;;;;;;;1
108;;;;;;;;;;0
109;;;;;;;;;;0
110;;;;;;;;;;0
111;;;;;;;;;;0
112;;;;;;;;;;0
113;;;;;;;;;;0
114;;;;;;;;;;0
115;;;;;;;;;;0
116;;;;;;;;;;0
117;;;;;;;;;;0
118;;;;;;;;;;0
119;;;;;;;;;;1
120;;;;;;;;;;0
121;;;;;;;;;;1
122;;;;;;;;;;0
123;;;;;;;;;;0
124;;;;;;;;;;0
125;;;;;;;;;;1
126;;;;;;;;;;0
127;;;;;;;;;;0
128;;;;;;;;;;0
129;;;;;;;;;;0
130;;;;;;;;;;0
131;;;;;;;;;;1
132;;;;;;;;;;0
133;;;;;;;;;;0
134;;;;;;;;;;0
135;;;;;;;;;;0
136;;;;;;;;;;1
137;;;;;;;;;;0
138;;;;;;;;;;0
139;;;;;;;;;;1
140;;;;;;;;;;0
141;;;;;;;;;;1
142;;;;;;;;;;0
143;;;;;;;;;;1
144;;;;;;;;;;1
145;;;;;;;;;;1
146;;;;;;;;;;0
147;;;;;;;;;;0
148;;;;;;;;;;1
149;;;;;;;;;;0
150;;;;;;;;;;1
151;;;;;;;;;;0
152;;;;;;;;;;1
