;maior_pacote;total_ips_destino;total_ips_origem;10_kurt_maior_pacote;10_skw_total_ips_destino;10_coefficient_variation_total_ips_origem;has_bot
0;238;23690;28;;;;0
1;90;37770;27;;;;0
2;90;38095;36;;;;0
3;110;37916;33;;;;0
4;90;37764;32;;;;0
5;90;38236;33;;;;0
6;110;37923;31;;;;0
7;110;37763;33;;;;0
8;246;38080;37;;;;0
9;90;38081;22;;;;0
10;90;37761;24;;;;0
11;90;38085;23;;;;0
12;90;38085;26;;;;0
13;90;37762;18;;;;0
14;90;38082;29;;;;0
15;110;37925;33;;;;0
16;110;37921;32;;;;0
17;90;38083;35;;;;0
18;110;37762;30;;;;0
19;90;37763;35;;;;0
20;90;38408;31;;;;0
21;90;37766;28;;;;0
22;110;37767;34;;;;0
23;90;38082;35;;;;0
24;117;37923;30;;;;0
25;110;37923;27;;;;0
26;110;38076;23;;;;0
27;90;37924;32;;;;0
28;90;37923;20;;;;0
29;90;37919;28;;;;0
30;90;37918;26;;;;0
31;110;37919;28;;;;0
32;90;37921;28;;;;0
33;110;38080;26;;;;0
34;110;37920;26;;;;0
35;110;37915;31;;;;0
36;110;38084;30;;;;0
37;110;37922;26;;;;0
38;90;37763;32;;;;0
39;90;37923;31;;;;0
40;90;38078;24;;;;0
41;90;37922;29;;;;0
42;90;37919;17;;;;0
43;90;38008;32;;;;0
44;90;37842;23;;;;0
45;110;37765;31;;;;0
46;110;38080;29;;;;0
47;90;37973;30;;;;0
48;182;37870;28;;;;0
49;110;38076;34;;;;0
50;90;37920;24;;;;0
51;110;37921;23;;;;0
52;90;37979;27;;;;0
53;110;38020;24;;;;0
54;110;37923;26;;;;0
55;90;38079;29;;;;0
56;110;37763;21;;;;0
57;993;38075;27;;;;0
58;90;38082;28;;;;0
59;110;37763;26;;;;0
60;90;38072;23;;;;0
61;90;37921;23;;;;0
62;110;37765;25;;;;0
63;90;38238;23;;;;0
64;90;37917;19;;;;0
65;90;37765;22;;;;0
66;110;38240;23;;;;0
67;110;37917;31;;;;0
68;90;37765;31;;;;0
69;90;38086;28;;;;0
70;90;38054;18;;;;0
71;90;37778;32;;;;0
72;90;37921;35;;;;0
73;90;38085;34;;;;0
74;90;37922;21;;;;0
75;90;37919;19;;;;0
76;110;38075;24;;;;0
77;90;37762;22;;;;0
78;90;38085;27;;;;0
79;90;38078;24;;;;0
80;848;37781;33;;;;0
81;848;38056;32;;;;0
82;90;38080;23;;;;0
83;110;37761;23;;;;0
84;267;38082;24;;;;0
85;267;37762;22;;;;0
86;90;38080;29;;;;0
87;90;38083;22;;;;0
88;90;37761;28;;;;0
89;887;37922;33;;;;0
90;90;37917;29;;;;0
91;110;37919;31;;;;0
92;110;38080;27;;;;0
93;90;37755;27;;;;0
94;90;38077;28;;;;0
95;110;37919;27;;;;0
96;110;37923;28;;;;0
97;182;38075;23;;;;0
98;848;38078;30;;;;0
99;848;37919;24;;;;0
100;90;37925;26;;;;0
101;90;38082;26;;;;0
102;90;37920;33;;;;0
